AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,ObjectId
2453,POLICE OFFICER                     ,M,W ,OVER 60,75,FORMER EMPLOYEE                                        ,,122,111
2218,POLICE OFFICER                     ,M,W ,50 - 59,51,8TH DIVISION                                           ,1ST PLATOON                                            ,17,112
2053,POLICE LIEUTENANT                  ,M,W ,40 - 49,44,1ST DIVISION                                           ,BIKE PLATOON                                           ,21,113
2729,POLICE LIEUTENANT                  ,M,W ,50 - 59,56,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,32,114
2166,POLICE SERGEANT                    ,M,B ,OVER 60,63,FORMER EMPLOYEE                                        ,,35,115
2054,POLICE LIEUTENANT                  ,M,W ,50 - 59,50,1ST DIVISION                                           ,STAFF                                                  ,23,116
2296,POLICE OFFICER                     ,M,W ,50 - 59,58,FORMER EMPLOYEE                                        ,,21,117
2916,ASST POLICE CHIEF-LT COLONEL       ,F,W ,50 - 59,51,PATROL BUREAU                                          ,STAFF                                                  ,27,118
2167,POLICE OFFICER                     ,M,W ,OVER 60,66,2ND DIVISION                                           ,HALO/DRO                                               ,13,119
2454,POLICE OFFICER                     ,M,W ,40 - 49,49,8TH DIVISION                                           ,DETECTIVES                                             ,18,120
2298,POLICE OFFICER                     ,F,W ,40 - 49,49,SCHOOL RESOURCE OFFICERS                               ,STAFF                                                  ,23,121
2055,POLICE OFFICER                     ,M,W ,50 - 59,55,9TH DIVISION                                           ,SQUAD 1                                                ,21,122
2219,POLICE OFFICER                     ,M,W ,OVER 60,72,4TH DIVISION                                           ,2ND PLATOON                                            ,34,123
6254,POLICE OFFICER                     ,M,W ,OVER 60,62,NARCOTICS                                              ,INVESTIGATIVE SUPPORT                                  ,33,124
2455,POLICE OFFICER                     ,M,U ,40 - 49,46,FORMER EMPLOYEE                                        ,,20,125
2056,POLICE SERGEANT                    ,M,W ,40 - 49,49,INSPECTIONS AND COMPLIANCE UNIT                        ,STAFF                                                  ,24,126
2168,POLICE OFFICER                     ,M,W ,OVER 60,63,FORMER EMPLOYEE                                        ,,35,127
6561,POLICE OFFICER                     ,M,W ,50 - 59,52,TRAFFIC                                                ,2ND PLATOON                                            ,30,128
2220,POLICE LIEUTENANT                  ,M,W ,50 - 59,57,FORMER EMPLOYEE                                        ,,34,129
2457,POLICE OFFICER                     ,M,W ,50 - 59,50,3RD DIVISION                                           ,1ST PLATOON                                            ,21,130
2300,POLICE OFFICER                     ,M,W ,30 - 39,39,FOCUSED INTELLIGENCE UNIT                              ,FEDERAL TASK FORCES                                    ,17,131
2459,POLICE LIEUTENANT                  ,M,W ,40 - 49,43,SWAT UNIT                                              ,STAFF                                                  ,21,132
2058,POLICE SERGEANT                    ,M,W ,40 - 49,46,NARCOTICS                                              ,INVESTIGATIVE SUPPORT                                  ,23,133
2169,POLICE OFFICER                     ,M,B ,OVER 60,62,FORMER EMPLOYEE                                        ,,35,134
6414,POLICE SERGEANT                    ,M,W ,50 - 59,59,FORMER EMPLOYEE                                        ,,35,135
2461,POLICE OFFICER                     ,M,W ,50 - 59,57,3RD DIVISION                                           ,1ST PLATOON                                            ,21,136
2170,POLICE SERGEANT                    ,M,W ,40 - 49,44,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,17,137
2221,POLICE OFFICER                     ,M,W ,OVER 60,64,CANINE UNIT                                            ,2ND PLATOON                                            ,34,138
2301,POLICE OFFICER                     ,M,W ,50 - 59,51,7TH DIVISION                                           ,2ND PLATOON                                            ,23,139
2060,POLICE OFFICER                     ,M,W ,40 - 49,48,CRIMES AGAINST CHILDREN                                ,OPERATIONS A                                           ,23,140
2465,POLICE SERGEANT                    ,M,W ,40 - 49,49,MAJOR CASE UNIT                                        ,INTERDICTION SQUAD                                     ,21,141
2171,POLICE OFFICER                     ,M,B ,50 - 59,59,FORMER EMPLOYEE                                        ,,35,142
2302,POLICE SERGEANT                    ,F,W ,40 - 49,49,8TH DIVISION                                           ,STAFF                                                  ,23,143
6711,POLICE SERGEANT                    ,F,W ,50 - 59,52,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,23,144
2224,POLICE LIEUTENANT                  ,F,W ,OVER 60,61,FORMER EMPLOYEE                                        ,,34,145
2061,POLICE OFFICER                     ,M,W ,40 - 49,44,COURT LIAISON OFFICE                                   ,STAFF                                                  ,17,146
2468,POLICE OFFICER                     ,M,W ,50 - 59,55,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,21,147
2172,POLICE OFFICER                     ,M,B ,OVER 60,64,FORMER EMPLOYEE                                        ,,35,148
2303,POLICE OFFICER                     ,M,W ,40 - 49,40,FORMER EMPLOYEE                                        ,,17,149
6144,POLICE LIEUTENANT                  ,M,W ,50 - 59,59,NARCOTICS                                              ,STAFF                                                  ,33,150
2225,POLICE OFFICER                     ,M,B ,OVER 60,70,4TH DIVISION                                           ,2ND PLATOON                                            ,34,151
2062,POLICE OFFICER                     ,M,B ,40 - 49,45,7TH DIVISION                                           ,1ST PLATOON                                            ,23,152
2469,POLICE OFFICER                     ,M,W ,50 - 59,52,2ND DIVISION                                           ,1ST PLATOON                                            ,24,153
2174,POLICE LIEUTENANT                  ,M,W ,OVER 60,67,PATROL BUREAU                                          ,STAFF                                                  ,35,154
2306,POLICE OFFICER                     ,M,W ,OVER 60,60,SWAT UNIT                                              ,SQUAD 1                                                ,23,155
6165,POLICE MAJOR                       ,M,B ,OVER 60,62,8TH DIVISION                                           ,STAFF                                                  ,40,156
2226,POLICE CHIEF                       ,M,W ,50 - 59,53,CHIEF`S STAFF                                          ,STAFF                                                  ,24,157
2063,POLICE OFFICER                     ,M,W ,40 - 49,47,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,20,158
2470,POLICE MAJOR                       ,M,W ,OVER 60,68,FORMER EMPLOYEE                                        ,,0,159
2175,POLICE SERGEANT                    ,M,W ,OVER 60,62,FORMER EMPLOYEE                                        ,,35,160
2176,POLICE OFFICER                     ,M,W ,50 - 59,57,FORMER EMPLOYEE                                        ,,35,161
2177,POLICE OFFICER                     ,M,W ,OVER 60,62,FORMER EMPLOYEE                                        ,,35,162
2178,POLICE OFFICER                     ,M,W ,OVER 60,63,6TH DIVISION                                           ,2ND PLATOON                                            ,35,163
2179,POLICE OFFICER                     ,F,W ,OVER 60,61,FORMER EMPLOYEE                                        ,,35,164
2180,POLICE SERGEANT                    ,F,B ,OVER 60,63,FORMER EMPLOYEE                                        ,,35,165
2181,POLICE OFFICER                     ,M,B ,OVER 60,60,FORMER EMPLOYEE                                        ,,35,166
2184,POLICE OFFICER                     ,M,W ,OVER 60,61,8TH DIVISION                                           ,2ND PLATOON                                            ,35,167
2185,POLICE OFFICER                     ,M,W ,OVER 60,61,FORMER EMPLOYEE                                        ,,35,168
2186,POLICE SERGEANT                    ,M,B ,50 - 59,51,2ND DIVISION                                           ,2ND PLATOON                                            ,25,169
2187,POLICE LIEUTENANT                  ,M,W ,OVER 60,60,5TH DIVISION                                           ,STAFF                                                  ,35,170
2188,POLICE OFFICER                     ,M,W ,50 - 59,58,FORMER EMPLOYEE                                        ,,35,171
2189,POLICE MAJOR                       ,M,W ,40 - 49,41,PATROL BUREAU                                          ,STAFF                                                  ,17,172
2190,POLICE SERGEANT                    ,M,W ,50 - 59,57,2ND DIVISION                                           ,2ND PLATOON                                            ,35,173
2191,POLICE SERGEANT                    ,M,W ,50 - 59,59,FORMER EMPLOYEE                                        ,,35,174
2192,POLICE OFFICER                     ,M,B ,50 - 59,58,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,35,175
2193,POLICE OFFICER                     ,M,W ,OVER 60,63,FORMER EMPLOYEE                                        ,,35,176
2194,POLICE SERGEANT                    ,M,W ,OVER 60,67,5TH DIVISION                                           ,1ST PLATOON                                            ,35,177
2195,POLICE OFFICER                     ,F,W ,50 - 59,59,FORMER EMPLOYEE                                        ,,35,178
2196,POLICE OFFICER                     ,M,B ,50 - 59,58,FORMER EMPLOYEE                                        ,,35,179
2197,POLICE SERGEANT                    ,M,W ,50 - 59,51,NARCOTICS                                              ,STAFF                                                  ,25,180
2198,POLICE LIEUTENANT                  ,M,W ,OVER 60,61,FORMER EMPLOYEE                                        ,,35,181
2199,POLICE OFFICER                     ,M,W ,50 - 59,58,2ND DIVISION                                           ,FLEX PLATOON                                           ,23,182
2200,POLICE OFFICER                     ,F,B ,OVER 60,62,8TH DIVISION                                           ,2ND PLATOON                                            ,35,183
2201,POLICE SERGEANT                    ,M,W ,OVER 60,64,CRIMES AGAINST CHILDREN                                ,MISSING PERSONS                                        ,35,184
2202,POLICE OFFICER                     ,M,W ,OVER 60,60,CIS FORENSIC INVESTIGATIONS                            ,VIDEO FORENSICS                                        ,35,185
2203,POLICE SERGEANT                    ,M,B ,OVER 60,62,FORMER EMPLOYEE                                        ,,35,186
2204,POLICE OFFICER                     ,M,W ,OVER 60,65,FORMER EMPLOYEE                                        ,,35,187
2205,POLICE OFFICER                     ,M,W ,50 - 59,59,FORMER EMPLOYEE                                        ,,35,188
2206,POLICE OFFICER                     ,M,B ,OVER 60,63,5TH DIVISION                                           ,2ND PLATOON                                            ,34,189
6084,POLICE SERGEANT                    ,M,W ,50 - 59,52,CIS HOMICIDE                                           ,2ND PLATOON                                            ,30,190
2307,POLICE SERGEANT                    ,M,W ,40 - 49,44,6TH DIVISION                                           ,1ST PLATOON                                            ,18,191
2064,POLICE OFFICER                     ,M,B ,50 - 59,53,CIS HOMICIDE                                           ,SQUAD 2                                                ,19,192
2227,POLICE LIEUTENANT                  ,F,W ,40 - 49,44,PROPERTY ROOM SECTION                                  ,EVIDENCE TECH TEAM                                     ,19,193
2228,POLICE OFFICER                     ,M,W ,50 - 59,57,5TH DIVISION                                           ,1ST PLATOON                                            ,34,194
2471,POLICE SERGEANT                    ,M,W ,50 - 59,52,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,23,195
2704,POLICE OFFICER                     ,M,W ,OVER 60,65,FORMER EMPLOYEE                                        ,,33,196
2229,POLICE OFFICER                     ,M,W ,OVER 60,66,5TH DIVISION                                           ,2ND PLATOON                                            ,16,197
2066,POLICE OFFICER                     ,F,W ,50 - 59,55,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,23,198
2308,POLICE OFFICER                     ,M,W ,50 - 59,59,TRAFFIC                                                ,2ND PLATOON                                            ,24,199
2475,POLICE SERGEANT                    ,M,W ,OVER 60,70,FORMER EMPLOYEE                                        ,,49,200
2000,POLICE OFFICER                     ,M,W ,50 - 59,53,TRAFFIC                                                ,1ST PLATOON                                            ,21,201
2230,POLICE OFFICER                     ,M,W ,50 - 59,53,5TH DIVISION                                           ,1ST PLATOON                                            ,21,202
2067,POLICE OFFICER                     ,M,B ,50 - 59,58,NARCOTICS                                              ,SQUAD 2                                                ,25,203
2309,POLICE LIEUTENANT                  ,M,W ,50 - 59,51,COMMUNITY SERVICES                                     ,STAFF                                                  ,25,204
2478,POLICE LIEUTENANT                  ,F,W ,40 - 49,47,SPECIAL INVESTIGATIONS DIVISION                        ,STAFF                                                  ,23,205
2001,POLICE OFFICER                     ,F,W ,40 - 49,41,7TH DIVISION                                           ,3RD PLATOON                                            ,17,206
2232,POLICE OFFICER                     ,M,W ,50 - 59,53,8TH DIVISION                                           ,2ND PLATOON                                            ,25,207
2069,POLICE OFFICER                     ,M,W ,50 - 59,55,5TH DIVISION                                           ,DETECTIVES                                             ,23,208
2310,POLICE SERGEANT                    ,M,B ,50 - 59,59,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,20,209
2479,POLICE SERGEANT                    ,F,W ,50 - 59,50,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,21,210
2004,POLICE SERGEANT                    ,M,W ,40 - 49,45,CIS HOMICIDE                                           ,1ST PLATOON                                            ,22,211
2234,POLICE OFFICER                     ,M,W ,50 - 59,53,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,17,212
2071,POLICE OFFICER                     ,M,U ,50 - 59,51,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,21,213
2072,POLICE OFFICER                     ,M,W ,40 - 49,46,RIVER PATROL                                           ,STAFF                                                  ,18,214
2073,POLICE OFFICER                     ,M,W ,OVER 60,67,FORMER EMPLOYEE                                        ,,122,215
2074,POLICE SERGEANT                    ,M,W ,40 - 49,45,TECHNICAL SERVICES                                     ,TECHNICAL SERVICES                                     ,17,216
2076,POLICE OFFICER                     ,M,W ,40 - 49,48,2ND DIVISION                                           ,DETECTIVES                                             ,24,217
2077,POLICE MAJOR                       ,M,W ,OVER 60,70,2ND DIVISION                                           ,STAFF                                                  ,44,218
2078,POLICE OFFICER                     ,M,W ,OVER 60,70,FORMER EMPLOYEE                                        ,,16,219
2079,POLICE OFFICER                     ,M,W ,50 - 59,51,5TH DIVISION                                           ,2ND PLATOON                                            ,25,220
2080,POLICE OFFICER                     ,M,W ,OVER 60,75,FORMER EMPLOYEE                                        ,,122,221
2081,POLICE SERGEANT                    ,M,W ,40 - 49,46,6TH DIVISION                                           ,2ND PLATOON                                            ,23,222
2082,POLICE LIEUTENANT                  ,F,W ,40 - 49,41,CIS ROBBERY                                            ,STAFF                                                  ,18,223
2083,POLICE SERGEANT                    ,M,W ,40 - 49,45,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,22,224
2084,POLICE OFFICER                     ,F,W ,40 - 49,44,ADMINISTRATIVE SERVICES DIVISION                       ,RECRUITING AND SELECTION                               ,17,225
2085,POLICE OFFICER                     ,F,W ,40 - 49,48,CANINE UNIT                                            ,2ND PLATOON                                            ,23,226
2086,POLICE OFFICER                     ,M,W ,50 - 59,50,8TH DIVISION                                           ,1ST PLATOON                                            ,17,227
2087,POLICE OFFICER                     ,M,W ,40 - 49,49,TRAFFIC                                                ,3RD PLATOON                                            ,25,228
2088,POLICE LIEUTENANT                  ,M,W ,40 - 49,47,CRIMINAL INTERDICTION                                  ,STAFF                                                  ,21,229
2050,POLICE SERGEANT                    ,M,W ,50 - 59,52,TRAINING                                               ,BASIC ACADEMY                                          ,23,230
2043,POLICE OFFICER                     ,M,B ,50 - 59,57,ADMINISTRATIVE SERVICES DIVISION                       ,RECRUITING AND SELECTION                               ,18,231
2020,POLICE OFFICER                     ,M,W ,50 - 59,58,CIS HOMICIDE                                           ,SQUAD 2                                                ,23,232
2811,POLICE SERGEANT                    ,M,W ,OVER 60,60,5TH DIVISION                                           ,FLEX PLATOON                                           ,30,233
6048,POLICE OFFICER                     ,F,W ,50 - 59,51,8TH DIVISION                                           ,1ST PLATOON                                            ,26,234
